page_domain_root,type,country
rsci.ru,nonrelevant,Russia
zavtra.ru,relevant,Russia
linux.org.ru,nonrelevant,Russia
kraskultura.ru,nonrelevant,Russia
rt.rbc.ru,relevant,Russia
tv.belta.by,nonrelevant,Belarus
news.drom.ru,nonrelevant,Russia
terrikon.com,nonrelevant,Ukraine
mpt.gov.by,nonrelevant,Belarus
bbcrussian.com,underpressure,Russia/UK
deepapple.com,nonrelevant,Russia
domashniy.ru,nonrelevant,Russia
riadagestan.ru,relevant,Russia
christianitytoday.com,nonrelevant,USA
mig.com.ua,nonrelevant,Ukraine
saint-petersburg.ru,relevant,Russia
belarusinfocus.info,nonrelevant,Belarus
hrexpo.pro,nonrelevant,Russia
kp.ru,relevant,Russia
eadaily.com,relevant,Russia
kursk.kp.ru,relevant,Russia
sport-interfax.ru,nonrelevant,Russia
kavkazr.com,underpressure,Russia
rendez-vous.ru,nonrelevant,Russia
exler.ru,nonrelevant,Russia
fas.gov.ru,nonrelevant,Russia
penza.kp.ru,relevant,Russia
alt.kp.ru,relevant,Russia
kv.com.ua,nonrelevant,Ukraine
ryb.ru,relevant,Russia
astrakhan.kp.ru,relevant,Russia
elvisti.com,nonrelevant,Ukraine
appleinsider.ru,nonrelevant,Russia
crimea.kp.ru,relevant,Russia
chaskor.ru,underpressure,Russia
capital.ua,nonrelevant,Ukraine
volpromex.ru,relevant,Russia
ia-centr.ru,relevant,Russia
advertology.ru,nonrelevant,Russia
interfax.com.ua,nonrelevant,Russia
fixygen.ua,nonrelevant,Russia
news.sportbox.ru,nonrelevant,Russia
nintendo.ru,nonrelevant,Russia
androidinsider.ru,nonrelevant,Russia
newsvl.ru,relevant,Russia
